"year","rating","length","movie_name","Genres:","Rate:","Added to Netflix:","Director:","Cast:","Production Country:","New Season Added:"
"1985","8.1/10","95 min","Esperando la carroza","Comedies, Cult Movies, International Movies","","August 5, 2021","Alejandro Doria","Luis Brandoni, China Zorrilla, Antonio Gasalla, Julio De Grazia, Betiana Blum, Monica Villa, Juan Manuel Tenuta, Andrea Tenuta, Cecilia Rossetto, Enrique Pinti","Argentina",NA
"2021","7.1/10","97 min","Lady Boss: The Jackie Collins Story","Documentaries","","August 5, 2021","Laura Fairrie","Jackie Collins","United Kingdom",NA
"2014",NA,"2 Seasons","Mighty Raju","Kids' TV","",NA,NA,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",NA,"August 5, 2021"
"1993",NA,"124 min","Tango Feroz","Classic Movies, Dramas, International Movies","","August 5, 2021","Marcelo Pineyro","Fernán Mirás, Cecilia Dopazo, Imanol Arias, Héctor Alterio, Leonardo Sbaraglia, Federico D'Elía, David Masajnik, Cristina Banegas, Ernesto Alterio, Antonio Birabent",NA,NA
"2016",NA,"118 min","'76","Dramas, International Movies","","August 4, 2021","Izu Ojukwu","Ramsey Nouah, Rita Dominic, Chidi Mokeme, Ibinabo Fiberesima, Daniel K. Daniel, Memry Savanhu, Adonijah Owiriwa, Pat Nebo, Nelly Ekwereogu, Shuaibu Ebenesi Adams, Debo Oguns, Ben Nwosu, Ada Ofoegbu",NA,NA
"2021",NA,"115 min","Aftermath","Horror Movies","","August 4, 2021","Peter Winther","Ashley Greene, Shawn Ashmore, Sharif Atkins, Britt Baron, Diana Hopper, Ross McCall, Jamie Kaler, Travis Coles, Susan Walters, Jason Liles",NA,NA
"2012",NA,"115 min","American Masters: Inventing David Geffen","Movies","","August 4, 2021","Susan Lacy","David Geffen",NA,NA
"2021","8.7/10","3 Seasons","Car Masters: Rust to Riches","Reality TV","",NA,NA,"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle",NA,"August 4, 2021"
"2021",NA,"1 Season","Cocaine Cowboys: The Kings of Miami","Crime TV Shows, Docuseries","","August 4, 2021","Billy Corben",NA,NA,NA
"2021","6.8/10","2 Seasons","Control Z","International TV Shows, Spanish-Language TV Shows, TV Dramas","",NA,NA,"Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Zion Moreno, Luis Curiel, Samantha Acuna, Macarena García, Fiona Palomo, Andrés Baida, Patricio Gallardo, Iván Aragón, Xabiani Ponce de León, Patricia Maqueo, Rodrigo Cachero, Rocío Verdejo, Mauro Sánchez Navarro, Lidia San José, Thanya López, Renata del Castillo, Arturo Barba, Kariam Castro, Ariana Saavedra, Alexander Holtmann, Nastassia Villasana, Marco Zunino","Mexico","August 4, 2021"
"2021",NA,"1 Season","Cooking With Paris","Reality TV","","August 4, 2021",NA,"Paris Hilton",NA,NA
"2009","8.0/10","1 Season","Autumn's Concerto","International TV Shows, Romantic TV Shows, TV Dramas","","August 3, 2021",NA,"Ady An, Vanness Wu, Ann Hsu, Wu Kang-ren, Xiao Xiao Bin","Taiwan",NA
"1995","6.7/10","104 min","Heavy","Dramas, Independent Movies, Romantic Movies","","August 3, 2021","James Mangold","Pruitt Taylor Vince, Shelley Winters, Liv Tyler, Debbie Harry, Evan Dando, Joe Grifasi, David Patrick Kelly, Marian Quinn","United States",NA
"2010","7.4/10","106 min","Ije: The Journey","Dramas, International Movies","","August 3, 2021","Chineze Anyaene","Genevieve Nnaji, Omotola Jalade-Ekeinde, Odalys Garcia, Ulrich Que, Jeff Swarthout, Clem Ohameze, Ann D. Carey, Anahit Setian, Danielle Soibelman, Jon Morgan Woodward","United States, Nigeria",NA
"2011","6.6/10","1 Season","Office Girls","International TV Shows, Romantic TV Shows, TV Comedies","","August 3, 2021","Hsu Fu-chun","Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai","Taiwan",NA
"2021","6.2/10","102 min","Pray Away","Documentaries, LGBTQ Movies","","August 3, 2021","Kristine Stolakis",NA,"United States",NA
"2021",NA,"97 min","Shiny_Flakes: The Teenage Drug Lord","Documentaries, International Movies","","August 3, 2021","Eva Müller, Michael Schmitt","Maximilian Schmidt",NA,NA
"2005","6.9/10","1 Season","The Prince Who Turns into a Frog","International TV Shows, Romantic TV Shows, TV Comedies","","August 3, 2021",NA,"Joe Chen, Ming Dao, Sam Wang, Joyce Chao, Gino, Su Li-hsin, Wang Chuan, Ehlo Huang","Taiwan",NA
"2021",NA,"1 Season","Top Secret UFO Projects: Declassified","Docuseries","","August 3, 2021",NA,NA,NA,NA
"2013","7.6/10","1 Season","Two Fathers","International TV Shows, Romantic TV Shows, TV Comedies","","August 3, 2021",NA,"Weber Yang, Lin Yo-Wei, Megan Lai, Amanda Chou, Lucia Xie, Cherry Leung","Taiwan",NA
"2008","7.5/10","1 Season","You're My Destiny","International TV Shows, Romantic TV Shows, TV Comedies","","August 3, 2021",NA,"Joe Chen, Ethan Juan, Baron Chen, Bianca Bai, Na Wei-hsun, Tan Ai-Chen","Taiwan",NA
"2012","8.2/10","7 Seasons","30 Rock","TV Comedies","",NA,NA,"Tina Fey, Alec Baldwin, Tracy Morgan, Jane Krakowski, Jack McBrayer, Scott Adsit, Judah Friedlander, Katrina Bowden, Keith Powell, Lonny Ross, John Lutz, Kevin Brown, Grizz Chapman, Maulik Pancholy","United States","August 1, 2021"
"2020","5.9/10","3 Seasons","44 Cats","Kids' TV","",NA,NA,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder, Marca Leigh, Scottie Ray, Henry F. Benjamin","Italy","August 1, 2021"
"1992","5.5/10","87 min","Beethoven","Children & Family Movies, Comedies","","August 1, 2021","Brian Levant","Charles Grodin, Bonnie Hunt, Dean Jones, Oliver Platt, Stanley Tucci, Nicholle Tom, Christopher Castile, Sarah Rose Karr, David Duchovny, Patricia Heaton, O-Lan Jones, Nancy Fish","United States",NA
"1993","4.7/10","88 min","Beethoven's 2nd","Children & Family Movies, Comedies","","August 1, 2021","Rod Daniel","Charles Grodin, Bonnie Hunt, Nicholle Tom, Christopher Castile, Sarah Rose Karr, Debi Mazar, Chris Penn","United States",NA
"2007","6.4/10","114 min","Beowulf","Action & Adventure, Sci-Fi & Fantasy","","August 1, 2021","Robert Zemeckis","Ray Winstone, Anthony Hopkins, John Malkovich, Angelina Jolie, Robin Wright, Brendan Gleeson, Crispin Glover, Alison Lohman, Sharisse Baker-Bernard","United States, United Kingdom",NA
"2016","6.9/10","90 min","Boyka: Undisputed","Action & Adventure","","August 1, 2021","Todor Chapkanov","Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov, Brahim Achabbakhe, Paul Chahidi, Petio Petkov, Valentin Ganev, Vlado Mihailov","Bulgaria, United States",NA
"2002","8.1/10","142 min","Catch Me If You Can","Dramas","","August 1, 2021","Steven Spielberg","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin","United States, Canada",NA
"2009","6.7/10","90 min","Cloudy with a Chance of Meatballs","Children & Family Movies, Comedies, Sci-Fi & Fantasy","","August 1, 2021","Phil Lord, Christopher Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker","United States, Canada",NA
"2020",NA,"1 Season","Darwin’s Game","Anime Series, International TV Shows, TV Thrillers","","August 1, 2021",NA,"Yusuke Kobayashi, Reina Ueda, Nichika Omori, Taku Yashiro, Yumiri Hanamori, Ai Kayano, Takehito Koyasu, Yoshitsugu Matsuoka",NA,NA
"1999","5.8/10","105 min","Deep Blue Sea","Action & Adventure, Horror Movies, Sci-Fi & Fantasy","","August 1, 2021","Renny Harlin","Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie, Michael Rapaport, Stellan Skarsgard, LL Cool J, Aida Turturro, Cristos, Daniel Rey","United States, Mexico",NA
"1986","7.9/10","103 min","Ferris Bueller's Day Off","Classic Movies, Comedies, Cult Movies","","August 1, 2021","John Hughes","Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close","United States",NA
"2019","7.1/10","116 min","Five Feet Apart","Dramas, Romantic Movies","","August 1, 2021","Justin Baldoni","Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hébert Gregory, Parminder Nagra, Claire Forlani, Emily Baldoni, Gary Weeks, Cynthia Evans","United States",NA
"2006","4.9/10","113 min","Freedomland","Dramas, Thrillers","","August 1, 2021","Joe Roth","Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe, Aunjanue Ellis, Anthony Mackie, LaTanya Richardson Jackson, Clarke Peters, Peter Friedman, Domenick Lombardozzi","United States",NA
"2010",NA,"5 Seasons","Friday Night Lights","TV Dramas, Teen TV Shows","",NA,NA,"Kyle Chandler, Connie Britton, Aimee Teegarden, Taylor Kitsch, Jesse Plemons, Minka Kelly, Zach Gilford, Adrianne Palicki, Derek Phillips, Brad Leland, Gaius Charles, Timothy F. Crowley, Louanne Stephens, Stacey Oristano, Scott Porter",NA,"August 1, 2021"
"2007","5.8/10","99 min","Good Luck Chuck","Comedies, Romantic Movies","","August 1, 2021","Mark Helfrich","Dane Cook, Jessica Alba, Dan Fogler, Ellia English, Sasha Pieterse, Annie Wood, Lonny Ross, Chelan Simmons, Simone Bailly, Jodelle Ferland, Crystal Lowe, Troy Gentile, Georgia Craig, Michelle Harrison, Chiara Zanni","United States, Canada",NA
"2014","9.0/10","6 Seasons","Hunter X Hunter (2011)","Anime Series, International TV Shows","",NA,NA,"Megumi Han, Mariya Ise, Keiji Fujiwara, Miyuki Sawashiro, Daisuke Namikawa","Japan","August 1, 2021"
"2021",NA,"96 min","I missed you: Director's Cut","Dramas, Independent Movies, International Movies","","August 1, 2021","Mag Hsu, Hsu Chih-yen","Wu Kang-ren, Eve Ai, Fu Meng-po, Lin Mei-hsiu, 9m88",NA,NA
"2010","8.8/10","148 min","Inception","Action & Adventure, Sci-Fi & Fantasy, Thrillers","","August 1, 2021","Christopher Nolan","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas","United States, United Kingdom",NA
"1999","8.0/10","189 min","Magnolia","Dramas, Independent Movies","","August 1, 2021","Paul Thomas Anderson","John C. Reilly, Philip Baker Hall, Tom Cruise, Julianne Moore, Philip Seymour Hoffman, William H. Macy, Jeremy Blackman, Jason Robards, Melinda Dillon, April Grace, Luis Guzmán, Ricky Jay, Alfred Molina, Michael Murphy, Melora Walters","United States",NA
"1995","6.5/10","97 min","Major Payne","Comedies","","August 1, 2021","Nick Castle","Damon Wayans, Karyn Parsons, William Hickey, Michael Ironside, Albert Hall, Ross Bickell, Orlando Brown, Peyton Chesson-Fohl, Steven Martini","United States",NA
"1991","6.7/10","102 min","My Girl","Dramas","","August 1, 2021","Howard Zieff","Dan Aykroyd, Jamie Lee Curtis, Macaulay Culkin, Anna Chlumsky, Richard Masur, Griffin Dunne, Ann Nelson, Peter Michael Goetz, Jane Hallaren, Anthony R. Jones","United States",NA
"1994","5.2/10","99 min","My Girl 2","Children & Family Movies, Comedies, Dramas","","August 1, 2021","Howard Zieff","Anna Chlumsky, Austin O'Brien, Dan Aykroyd, Jamie Lee Curtis, Richard Masur, Christine Ebersole, Angeline Ball","United States",NA
"2015","4.9/10","85 min","Open Season: Scared Silly","Children & Family Movies, Comedies","","August 1, 2021","David Feiss","William Townsend, Donny Lucas, Melissa Sturm, Trevor Devall, Brian Drummond, Kathleen Barr, Garry Chalk, Lee Tockar, Shannon Chan-Kent, Michelle Murdocca, Lorne Cardinal, Peter Kelamis","United States, Canada",NA
"2008","6.7/10","112 min","Pineapple Express","Action & Adventure, Comedies","","August 1, 2021","David Gordon Green","Seth Rogen, James Franco, Danny McBride, Kevin Corrigan, Craig Robinson, Gary Cole, Rosie Perez, Ed Begley Jr., Nora Dunn, Amber Heard","United States",NA
"2009","6.2/10","91 min","Planet 51","Children & Family Movies, Comedies, Sci-Fi & Fantasy","","August 1, 2021","Jorge Blanco","Justin Long, Dwayne Johnson, Gary Oldman, Seann William Scott, Jessica Biel, John Cleese, Freddie Benedict","Spain, United Kingdom, United States",NA
"2019","6.2/10","91 min","Poms","Comedies","","August 1, 2021","Zara Hayes","Diane Keaton, Jacki Weaver, Pam Grier, Rhea Perlman, Celia Weston, Alisha Boe, Charlie Tahan","United Kingdom, United States",NA
"2003","7.4/10","141 min","Seabiscuit","Dramas, Sports Movies","","August 1, 2021","Gary Ross","Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks, Gary Stevens, William H. Macy, David McCullough, Kingston DuCoeur, Eddie Jones, Ed Lauter, Michael O'Neill, Michael Angarano, Royce D. Applegate, Annie Corley, Valerie Mahaffey","United States",NA
"2000","6.5/10","130 min","Space Cowboys","Action & Adventure, Dramas, Sci-Fi & Fantasy","","August 1, 2021","Clint Eastwood","Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner, James Cromwell, Marcia Gay Harden, William Devane, Loren Dean, Courtney B. Vance, Rade Serbedzija, Barbara Babcock, Blair Brown","United States",NA
"2004","7.3/10","98 min","Team America: World Police","Action & Adventure, Comedies, Cult Movies","","August 1, 2021","Trey Parker","Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo, Daran Norris, Phil Hendrie, Maurice LaMarche, Chelsea Magritte, Jeremy Shada, Fred Tatasciore","United States, Germany",NA
"2016","7.2/10","105 min","The Edge of Seventeen","Comedies, Dramas","","August 1, 2021","Kelly Fremon Craig","Hailee Steinfeld, Woody Harrelson, Kyra Sedgwick, Haley Lu Richardson, Blake Jenner, Hayden Szeto, Alexander Calvert, Eric Keenleyside","United States, China",NA
"2013","5.1/10","101 min","The Haunting in Connecticut 2: Ghosts of Georgia","Horror Movies","","August 1, 2021","Tom Elkins","Abigail Spencer, Chad Michael Murray, Katee Sackhoff, Emily Alyn Lind, Cicely Tyson, Andrea Frankle, Brad James, Lance E. Nichols","United States",NA
"1991","7.1/10","105 min","The Last Boy Scout","Action & Adventure, Comedies","","August 1, 2021","Tony Scott","Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry, Bruce McGill","United States",NA
"2011","7.2/10","118 min","The Lincoln Lawyer","Dramas, Thrillers","","August 1, 2021","Brad Furman","Matthew McConaughey, Josh Lucas, Ryan Phillippe, John Leguizamo, Michael Pena, Bryan Cranston, Bob Gunton, William H. Macy, Marisa Tomei, Frances Fisher","United States",NA
"2010","6.4/10","97 min","The Losers","Action & Adventure","","August 1, 2021","Sylvain White","Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Óscar Jaenada, Jason Patric, Holt McCallany, Peter Macdissi, Peter Francis James","United States, France",NA
"2004","7.6/10","102 min","The Machinist","Dramas, Independent Movies, Thrillers","","August 1, 2021","Brad Anderson","Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside, Lawrence Gilliard Jr., Reg E. Cathey, Anna Massey, Matthew Romero, Robert Long, Colin Stinton, Craig Stevenson","Spain, France, United Kingdom, United States",NA
"1995","6.1/10","114 min","The Net","Thrillers","","August 1, 2021","Irwin Winkler","Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker, Wendy Gazelle, Ken Howard, Ray McKinnon, Daniel Schorr, L. Scott Caldwell, Robert Gossett","United States",NA
"2000","7.0/10","111 min","The Original Kings of Comedy","Stand-Up Comedy","","August 1, 2021","Spike Lee","Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac","United States",NA
"2010","5.8/10","125 min","Valentine's Day","Comedies, Romantic Movies","","August 1, 2021","Garry Marshall","Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Hector Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts, Julia Roberts, Taylor Swift","United States",NA
"2021","4.4/10","3 Seasons","Charmed","TV Dramas, TV Sci-Fi & Fantasy","",NA,NA,"Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie","United States","July 31, 2021"
"2018",NA,"76 min","The Lost Café","Dramas, International Movies","","July 31, 2021","Kenneth Gyang","Tunde Aladese, Omatta Udalor, Terje Lien, Ann Njemanze, Anders Lidin Hansen, Jenny Bonden, Belinda Effah, Anita Daniels, Silje Drensgrud, Torbjorn Jensen",NA,NA
"2021",NA,"118 min","The Vault","Action & Adventure, International Movies, Thrillers","","July 31, 2021","Jaume Balagueró","Freddie Highmore, Astrid Berges-Frisbey, Sam Riley, Liam Cunningham, José Coronado, Luis Tosar, Emilio Gutiérrez Caba, Axel Stein, Daniel Holguín, Famke Janssen",NA,NA
"2021",NA,"1 Season","Centaurworld","Kids' TV, TV Comedies","","July 30, 2021",NA,"Kimiko Glenn, Megan Hilty, Parvesh Cheena, Chris Diamantopoulos, Megan Nicole Dong, Jessie Mueller, Josh Radnor",NA,NA
"2014","6.4/10","103 min","Eyes of a Thief","Dramas, Independent Movies, International Movies","","July 30, 2021","Najwa Najjar","Khaled Abol El Naga, Souad Massi, Suhail Haddad, Malak Ermileh, Maisa Abd Elhadi, Walid Abdul Salam, Nisreen Faour, Areen Omari",", France, Algeria",NA
"2021","6.8/10","3 Seasons","Glow Up","British TV Shows, International TV Shows, Reality TV","",NA,NA,NA,"United Kingdom","July 30, 2021"
"2020",NA,"114 min","I'm Glad I Did","Documentaries, International Movies","","July 30, 2021","Selçuk Metin","Metin Akpinar, Demet Akbag, Umur Bugay, Ahmet Gülhan, Dikmen Gürün, Kandemir Konduk, Perran Kutman, Zeynep Oral, Nevra Serezli, Selma Sonat, Suat Sungur, Ferhan ªensoy, Cihat Tamer, Demet Taner",NA,NA
"2009",NA,"1 Season","Khawatir","International TV Shows, Reality TV","","July 30, 2021",NA,NA,NA,NA
"2021",NA,"1 Season","Myth & Mogul: John DeLorean","British TV Shows, Crime TV Shows, Docuseries","","July 30, 2021",NA,NA,NA,NA
"2021","7.5/10","2 Seasons","Outer Banks","TV Action & Adventure, TV Dramas, Teen TV Shows","",NA,NA,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey","United States","July 30, 2021"
"2009",NA,"95 min","Pomegranates and Myrrh","Dramas, Independent Movies, International Movies","","July 30, 2021","Najwa Najjar","Yasmine Al Massri, Ashraf Farah, Ali Suliman, Hiam Abbass, Samia Kuzmoz Bakri, Yosef Abu Wardeh, Wardeh Dukwar, Manal Awad, Valentina Abu-'Aksa, Walid Abdul Salam, Ahmad Abu Sal'oum, Wardeh Jubran",NA,NA
"2021",NA,"138 min","Rurouni Kenshin: The Beginning","Action & Adventure, International Movies","","July 30, 2021","Keishi Otomo","Takeru Satoh, Kasumi Arimura, Issey Takahashi, Nijiro Murakami, Masanobu Ando, Kazuki Kitamura, Yosuke Eguchi",NA,NA
"2021",NA,"112 min","The Last Mercenary","Action & Adventure, Comedies, International Movies","","July 30, 2021","David Charhon","Jean-Claude Van Damme, Alban Ivanov, Éric Judor, Patrick Timsit, Miou-Miou, Assa Sylla, Samir Decazza, Valérie Kaprisky, Djimo, Nassim Lyes",NA,NA
"2009","4.2/10","1 Season","Chhota Bheem","Kids' TV","","July 29, 2021",NA,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil","India",NA
"2013","6.3/10","94 min","Flower Girl","Comedies, International Movies, Romantic Movies","","July 29, 2021","Michelle Bello","Damilola Adegbite, Chris Attoh, Chuks Chukwujekwu, Blossom Chukwujekwu, Eku Edewor, Bikiya Graham Douglas","Nigeria",NA
"2021",NA,"102 min","Resort to Love","Comedies, Romantic Movies","","July 29, 2021","Steven Tsuchida","Christina Milian, Jay Pharoah, Sinqua Walls, Tymberlee Hill, Jeryl Prescott Gallien, Christiani Pitts, Karen Obilom, Alexander Hodge, T.J. Power, Sylvaine Strike, Kayne Lee Harrison",NA,NA
